satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary
0.38,0.53,2,157,3,0,1,0,sales,45850
0.8,0.86,5,262,6,0,1,0,sales,60100
0.11,0.88,7,272,4,0,1,0,sales,58600
0.72,0.87,5,223,5,0,1,0,sales,56150
0.37,0.52,2,159,3,0,1,0,sales,45950
0.41,0.5,2,153,3,0,1,0,sales,45650
0.1,0.77,6,247,4,0,1,0,sales,56350
0.92,0.85,5,259,5,0,1,0,sales,57950
0.89,1.0,5,224,5,0,1,0,sales,56200
0.42,0.53,2,142,3,0,1,0,sales,45100
0.45,0.54,2,135,3,0,1,0,sales,44750
0.11,0.81,6,305,4,0,1,0,sales,59250
0.84,0.92,4,234,5,0,1,0,sales,55700
0.41,0.55,2,148,3,0,1,0,sales,45400
0.36,0.56,2,137,3,0,1,0,sales,44850
0.38,0.54,2,143,3,0,1,0,sales,45150
0.45,0.47,2,160,3,0,1,0,sales,46000
0.78,0.99,4,255,6,0,1,0,sales,58750
0.45,0.51,2,160,3,1,1,1,sales,46000
0.76,0.89,5,262,5,0,1,0,sales,58100
0.11,0.83,6,282,4,0,1,0,sales,58100
0.38,0.55,2,147,3,0,1,0,sales,45350
0.09,0.95,6,304,4,0,1,0,sales,59200
0.46,0.57,2,139,3,0,1,0,sales,44950
0.4,0.53,2,158,3,0,1,0,sales,45900
0.89,0.92,5,242,5,0,1,0,sales,57100
0.82,0.87,4,239,5,0,1,0,sales,55950
0.4,0.49,2,135,3,0,1,0,sales,44750
0.41,0.46,2,128,3,0,1,0,accounting,44400
0.38,0.5,2,132,3,0,1,0,accounting,44600
0.09,0.62,6,294,4,0,1,0,accounting,58700
0.45,0.57,2,134,3,0,1,0,hr,44700
0.4,0.51,2,145,3,0,1,0,hr,45250
0.45,0.55,2,140,3,0,1,0,hr,45000
0.84,0.87,4,246,6,0,1,0,hr,58300
0.1,0.94,6,255,4,0,1,0,technical,56750
0.38,0.46,2,137,3,0,1,0,technical,44850
0.45,0.5,2,126,3,0,1,0,technical,44300
0.11,0.89,6,306,4,0,1,0,technical,59300
0.41,0.54,2,152,3,0,1,0,technical,45600
0.87,0.88,5,269,5,0,1,0,technical,58450
0.45,0.48,2,158,3,0,1,0,technical,45900
0.4,0.46,2,127,3,0,1,0,technical,44350
0.1,0.8,7,281,4,0,1,0,technical,59050
0.09,0.89,6,276,4,0,1,0,technical,57800
0.84,0.74,3,182,4,0,1,0,technical,50100
