satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,left,promotion_last_5years,department,salary_usd
0.38,0.53,2,157,3,0,1,0,sales,35391
0.8,0.86,5,262,6,0,1,0,sales,46254
0.11,0.88,7,272,4,0,1,0,sales,47519
0.72,0.87,5,223,5,0,1,0,sales,46957
0.37,0.52,2,159,3,0,1,0,sales,33664
0.41,0.5,2,153,3,0,1,0,sales,33364
0.1,0.77,6,247,4,0,1,0,sales,47698
0.92,0.85,5,259,5,0,1,0,sales,46868
0.89,1,5,224,5,0,1,0,sales,42026
0.42,0.53,2,142,3,0,1,0,sales,34756
0.45,0.54,2,135,3,0,1,0,sales,31891
0.11,0.81,6,305,4,0,1,0,sales,45485
0.84,0.92,4,234,5,0,1,0,sales,43404
0.41,0.55,2,148,3,0,1,0,sales,28916
0.36,0.56,2,137,3,0,1,0,sales,28837
0.38,0.54,2,143,3,0,1,0,sales,32044
0.45,0.47,2,160,3,0,1,0,sales,31767
0.78,0.99,4,255,6,0,1,0,sales,46135
0.45,0.51,2,160,3,1,1,1,sales,32029
0.76,0.89,5,262,5,0,1,0,sales,41569
0.11,0.83,6,282,4,0,1,0,sales,49164
0.38,0.55,2,147,3,0,1,0,sales,33085
0.09,0.95,6,304,4,0,1,0,sales,46768
0.46,0.57,2,139,3,0,1,0,sales,29688
0.4,0.53,2,158,3,0,1,0,sales,32839
0.89,0.92,5,242,5,0,1,0,sales,44377
0.82,0.87,4,239,5,0,1,0,sales,40172
0.4,0.49,2,135,3,0,1,0,sales,33989
0.41,0.46,2,128,3,0,1,0,accounting,31198
0.38,0.5,2,132,3,0,1,0,accounting,32170
0.09,0.62,6,294,4,0,1,0,accounting,44595
0.45,0.57,2,134,3,0,1,0,hr,37630
0.4,0.51,2,145,3,0,1,0,hr,33516
0.45,0.55,2,140,3,0,1,0,hr,30655
0.84,0.87,4,246,6,0,1,0,hr,46956
0.1,0.94,6,255,4,0,1,0,technical,41097
0.38,0.46,2,137,3,0,1,0,technical,33672
0.45,0.5,2,126,3,0,1,0,technical,27700
0.11,0.89,6,306,4,0,1,0,technical,43379
0.41,0.54,2,152,3,0,1,0,technical,34392
0.87,0.88,5,269,5,0,1,0,technical,47296
0.45,0.48,2,158,3,0,1,0,technical,34628
0.4,0.46,2,127,3,0,1,0,technical,32360
0.1,0.8,7,281,4,0,1,0,technical,45597
0.09,0.89,6,276,4,0,1,0,technical,41503
0.84,0.74,3,182,4,0,1,0,technical,36000
0.4,0.55,2,147,3,0,1,0,support,32498
0.57,0.7,3,273,6,0,1,0,support,47992
0.4,0.54,2,148,3,0,1,0,support,34559
0.43,0.47,2,147,3,0,1,0,support,29242
0.13,0.78,6,152,2,0,1,0,support,36810
0.44,0.55,2,135,3,0,1,0,support,32087
0.38,0.55,2,134,3,0,1,0,support,31307
0.39,0.54,2,132,3,0,1,0,support,34429
0.1,0.92,7,307,4,0,1,0,support,50227
0.37,0.46,2,140,3,0,1,0,support,35628
0.11,0.94,7,255,4,0,1,0,support,42951
0.1,0.81,6,309,4,0,1,0,technical,46076
0.38,0.54,2,128,3,0,1,0,technical,33528
0.85,1,4,225,5,0,1,0,technical,44788
0.85,0.91,5,226,5,0,1,0,management,42102
0.11,0.93,7,308,4,0,1,0,IT,47235
0.1,0.95,6,244,5,0,1,0,IT,42334
0.36,0.56,2,132,3,0,1,0,IT,29909
0.11,0.94,6,286,4,0,1,0,IT,47731
0.81,0.7,6,161,4,0,1,0,IT,42840
0.43,0.54,2,153,3,0,1,0,product_mng,33769
0.9,0.98,4,264,6,0,1,0,product_mng,48308
0.76,0.86,5,223,5,1,1,0,product_mng,44054
0.43,0.5,2,135,3,0,1,0,product_mng,31437
0.74,0.99,2,277,3,0,1,0,IT,41053
0.09,0.77,5,275,4,0,1,0,product_mng,48095
0.45,0.49,2,149,3,0,1,0,product_mng,33660
0.09,0.87,7,295,4,0,1,0,product_mng,50961
0.11,0.97,6,277,4,0,1,0,product_mng,38700
0.11,0.79,7,306,4,0,1,0,product_mng,49654
0.1,0.83,6,295,4,0,1,0,product_mng,46367
0.4,0.54,2,137,3,0,1,0,marketing,32402
0.43,0.56,2,157,3,0,1,0,sales,34379
0.39,0.56,2,142,3,0,1,0,accounting,28431
0.45,0.54,2,140,3,0,1,0,support,32750
0.38,0.49,2,151,3,0,1,0,technical,34742
0.79,0.59,4,139,3,0,1,1,management,38744
0.84,0.85,4,249,6,0,1,0,marketing,43754
0.11,0.77,6,291,4,0,1,0,marketing,43928
0.11,0.87,6,305,4,0,1,0,marketing,45395
0.17,0.84,5,232,3,0,1,0,sales,42888
0.44,0.45,2,132,3,0,1,0,sales,33721
0.37,0.57,2,130,3,0,1,0,sales,31475
0.1,0.79,6,291,4,0,1,0,sales,47233
0.4,0.5,2,130,3,0,1,0,sales,33042
0.89,1,5,246,5,0,1,0,sales,46721
0.42,0.48,2,143,3,0,1,0,sales,31694
0.46,0.55,2,129,3,0,1,0,sales,31930
0.09,0.83,6,255,4,0,1,0,sales,43169
0.37,0.51,2,155,3,0,1,0,sales,30391
0.1,0.77,6,265,4,0,1,0,sales,45390
0.1,0.84,6,279,4,0,1,0,sales,46002
0.11,0.97,6,284,4,0,1,0,sales,45612
0.9,1,5,221,6,0,1,0,sales,43963
0.38,0.52,2,154,3,0,1,0,sales,30461
0.36,0.52,2,147,3,0,1,0,sales,32598
0.42,0.46,2,150,3,0,1,0,sales,32943
0.09,0.94,7,267,4,0,1,0,sales,43644
0.43,0.52,2,158,3,0,1,0,sales,33796
0.24,0.46,7,224,5,0,1,0,accounting,46010
0.91,1,4,257,5,0,1,0,accounting,48665
0.44,0.5,2,148,3,0,1,0,accounting,34136
0.71,0.87,3,177,4,0,1,0,hr,38193
0.4,0.49,2,155,3,0,1,0,hr,33863
0.43,0.47,2,144,3,0,1,0,hr,28703
0.09,0.85,6,289,4,0,1,0,hr,45783
0.43,0.52,2,160,3,0,1,0,technical,34450
0.9,0.96,4,258,5,0,1,0,technical,50158
0.84,1,5,234,5,0,1,0,technical,43219
0.37,0.48,2,137,3,0,1,0,technical,33903
0.86,0.68,5,263,2,0,1,0,technical,40563
0.11,0.84,6,251,4,0,1,0,technical,41028
0.37,0.57,2,133,3,0,1,0,technical,35807
0.4,0.46,2,132,3,0,1,0,technical,34779
0.14,0.62,4,158,4,1,1,0,technical,39477
0.4,0.46,2,135,3,0,1,0,technical,30776
0.75,1,4,216,6,0,1,0,technical,46906
0.11,0.84,6,300,5,1,1,0,support,44395
0.46,0.49,2,138,3,0,1,0,support,34667
0.11,0.92,6,260,4,0,1,0,support,49876
0.38,0.49,2,132,3,0,1,0,support,30423
0.7,0.89,3,183,5,0,1,0,support,37934
0.09,0.82,6,250,4,0,1,0,support,44149
